,Date,Location,Dead,Injured,Total,Description,dt,Suspects Dead,Suspects Injured,Year,Month,Day,loc,loc_name,loc_coords,lat,long,wrapped_descr,City,State
56,"June 30, 2019","Oakland, California",0,4,4,A 12-year-old boy and two adults were injured in a shooting outside of an apartment complex.[68],2019-06-30,0,0,2019,6,30,"Oakland, Alameda County, California, USA","Oakland, Alameda County, California, USA","(37.8044557, -122.2713563)",37.8044557,-122.2713563,"A 12-year-old boy
and two adults were
injured in a
shooting outside of
an apartment
complex.[68]",Oakland, California
57,"June 30, 2019","Yucaipa, California",0,5,5,Five people were wounded after a fight escalated in a mobile home park after a BBQ.[69],2019-06-30,0,0,2019,6,30,"Yucaipa (City of), San Bernardino County, California, 92399, USA","Yucaipa (City of), San Bernardino County, California, 92399, USA","(34.040931, -117.051671391906)",34.040931,-117.051671391906,"Five people were
wounded after a
fight escalated in a
mobile home park
after a BBQ.[69]",Yucaipa, California
58,"June 30, 2019","Dallas, Texas",2,2,4,Two teenagers were killed and two were wounded in a drive-by shooting near a playground.[70],2019-06-30,0,0,2019,6,30,"Dallas, Dallas County, Texas, United States of America","Dallas, Dallas County, Texas, United States of America","(32.7762719, -96.7968559)",32.7762719,-96.7968559,"Two teenagers were
killed and two were
wounded in a drive-
by shooting near a
playground.[70]",Dallas, Texas
59,"June 30, 2019","Bay Shore, New York",0,6,6,Six people were shot at a house party.[71],2019-06-30,0,0,2019,6,30,"Bay Shore, Suffolk County, New York, USA","Bay Shore, Suffolk County, New York, USA","(40.7250986, -73.2453946)",40.7250986,-73.2453946,"Six people were shot
at a house
party.[71]",Bay Shore, New York
60,"June 29, 2019","Baton Rouge, Louisiana",0,7,7,Seven people were injured in a shooting outside of a night club after a fight escalated.[72],2019-06-29,0,0,2019,6,29,"Baton Rouge, East Baton Rouge Parish, Louisiana, USA","Baton Rouge, East Baton Rouge Parish, Louisiana, USA","(30.4459596, -91.18738)",30.4459596,-91.18738,"Seven people were
injured in a
shooting outside of
a night club after a
fight escalated.[72]",Baton Rouge, Louisiana
61,"June 29, 2019","Hartford, Connecticut",0,4,4,"Police discovered two people wounded, while an additional two were self-transported to area hospitals.[73]",2019-06-29,0,0,2019,6,29,"Hartford, Hartford County, Connecticut, USA","Hartford, Hartford County, Connecticut, USA","(41.764582, -72.6908547)",41.764582,-72.6908547,"Police discovered
two people wounded,
while an additional
two were self-
transported to area
hospitals.[73]",Hartford, Connecticut
62,"June 29, 2019","Chicago, Illinois",0,5,5,Five people were wounded after gunfire broke out at a gathering in the Near West Side neighborhood.[74],2019-06-29,0,0,2019,6,29,"Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,"Five people were
wounded after
gunfire broke out at
a gathering in the
Near West Side
neighborhood.[74]",Chicago, Illinois
63,"June 28, 2019","Atlanta, Georgia",0,7,7,Seven people were wounded during a drive-by shooting involving two vehicles.[75],2019-06-28,0,0,2019,6,28,"Atlanta, Fulton County, Georgia, USA","Atlanta, Fulton County, Georgia, USA","(33.7490987, -84.3901849)",33.7490987,-84.3901849,"Seven people were
wounded during a
drive-by shooting
involving two
vehicles.[75]",Atlanta, Georgia
64,"June 28, 2019","Paterson, New Jersey",0,4,4,Four people were wounded by gunfire that erupted on a street.[76],2019-06-28,0,0,2019,6,28,"Paterson, Passaic County, New Jersey, USA","Paterson, Passaic County, New Jersey, USA","(40.9167654, -74.171811)",40.9167654,-74.171811,"Four people were
wounded by gunfire
that erupted on a
street.[76]",Paterson, New Jersey
65,"June 28, 2019","Hamden, Connecticut",0,5,5,"Five people were wounded in a shooting, after police break up a house party.[77]",2019-06-28,0,0,2019,6,28,"Hamden, New Haven County, Connecticut, United States of America","Hamden, New Haven County, Connecticut, United States of America","(41.3959287, -72.8968716)",41.3959287,-72.8968716,"Five people were
wounded in a
shooting, after
police break up a
house party.[77]",Hamden, Connecticut
66,"June 27, 2019","Atlanta, Georgia",0,7,7,"Seven people were wounded, two critically, in a drive-by shooting in the Old Fourth Ward neighborhood.[78]",2019-06-27,0,0,2019,6,27,"Atlanta, Fulton County, Georgia, USA","Atlanta, Fulton County, Georgia, USA","(33.7490987, -84.3901849)",33.7490987,-84.3901849,"Seven people were
wounded, two
critically, in a
drive-by shooting in
the Old Fourth Ward
neighborhood.[78]",Atlanta, Georgia
